Part Name,Color,Quantity,Part ID,Color Code
"Plate  2 x  2","Tan",5,3022.dat,19
"Plate  2 x  2","Reddish Brown",35,3022.dat,70
"Plate  2 x  2","Medium Nougat",7,3022.dat,84
"Plate  2 x  2","Dark Azure",3,3022.dat,321
"~Moved to 3023b","Black",2,3023.dat,0
"~Moved to 3023b","Tan",18,3023.dat,19
"~Moved to 3023b","Orange",14,3023.dat,25
"~Moved to 3023b","Lime",2,3023.dat,27
"~Moved to 3023b","Dark Tan",4,3023.dat,28
"~Moved to 3023b","Reddish Brown",39,3023.dat,70
"~Moved to 3023b","Medium Nougat",28,3023.dat,84
"~Moved to 3023b","Bright Light Orange",1,3023.dat,191
"~Moved to 3023b","Dark Blue",6,3023.dat,272
"~Moved to 3023b","Dark Green",14,3023.dat,288
"~Moved to 3023b","Dark Brown",12,3023.dat,308
"~Moved to 3023b","Dark Azure",16,3023.dat,321
"~Moved to 3023b","Trans Clear",46,3023.dat,47
"Plate  1 x  1","Dark Tan",1,3024.dat,28
"Plate  1 x  1","Reddish Brown",4,3024.dat,70
"Plate  1 x  1","Medium Nougat",57,3024.dat,84
"Plate  1 x  1","Dark Green",6,3024.dat,288
"Plate  1 x  1","Dark Brown",7,3024.dat,308
"Plate  1 x  1","Dark Azure",6,3024.dat,321
"Plate  1 x  1","Olive Green",5,3024.dat,330
"Plate  1 x  1","Trans Clear",5,3024.dat,47
"Plate  6 x 12","Dark Green",7,3028.dat,288
"Plate  4 x 12","Blue",1,3029.dat,1
"Plate  4 x 12","Green",2,3029.dat,2
"Plate  4 x 12","White",2,3029.dat,15
"Plate  4 x 12","Reddish Brown",3,3029.dat,70
"Plate  4 x  4","Reddish Brown",12,3031.dat,70
"Plate  4 x  6","Green",2,3032.dat,2
"Plate  4 x  6","Reddish Brown",7,3032.dat,70
"Plate  2 x  8","Black",3,3034.dat,0
"Plate  2 x  8","Green",1,3034.dat,2
"Plate  2 x  8","Reddish Brown",3,3034.dat,70
"Plate  2 x  8","Dark Bluish Grey",3,3034.dat,72
"Minifig Life Ring","Reddish Brown",1,30340.dat,70
"Plate  4 x  8","Tan",1,3035.dat,19
"Plate  4 x  8","Reddish Brown",6,3035.dat,70
"Plate  4 x  8","Dark Azure",1,3035.dat,321
"Bar  4L Lightsaber Blade","Reddish Brown",4,30374.dat,70
"Hinge Plate  1 x  2 Locking with Single Finger On Top","Black",4,30383.dat,0
"Slope Brick 45  2 x  2","Green",3,3039.dat,2
"Slope Brick 45  2 x  2","Yellow",1,3039.dat,14
"Hook with Towball","Dark Bluish Grey",1,30395.dat,72
"Slope Brick 45  2 x  1","Green",9,3040b.dat,2
"Slope Brick 45  2 x  1","Dark Tan",7,3040b.dat,28
"Slope Brick 45  2 x  1","Reddish Brown",1,3040b.dat,70
"Slope Brick 45  2 x  1","Dark Green",5,3040b.dat,288
"Slope Brick 45  2 x  1","Dark Brown",5,3040b.dat,308
"Brick  1 x  4 with Studs on Side","Reddish Brown",2,30414.dat,70
"Tile  2 x  2 Corner Round","Light Bluish Grey",4,27925.dat,71
"Bracket  1 x  2 -  1 x  4 with Rounded Bottom Corners","Reddish Brown",28,28802.dat,70
"~Bracket  1 x  1 -  1 x  1 Thick with Stud Hole (Obsolete)","Reddish Brown",1,28974.dat,70
"Brick  1 x  1 with Handle","Medium Nougat",1,2921.dat,84
"Brick  2 x  4","Yellow",2,3001.dat,14
"Brick  2 x  4","Reddish Brown",2,3001.dat,70
"Brick  2 x  4","Dark Green",13,3001.dat,288
"Brick  2 x  2","Dark Green",1,3003.dat,288
"Brick  1 x  2","Red",1,3004.dat,4
"Brick  1 x  2","Reddish Brown",10,3004.dat,70
"Brick  1 x  2","Dark Green",3,3004.dat,288
"Technic Pneumatic T-Piece - Type 2","Black",1,4697b.dat,0
"Brick  1 x  1 with Studs on Four Sides","Reddish Brown",1,4733.dat,70
"Brick  1 x  1 x  0.667 Round with Bar and Clip Vertical","Black",1,4735.dat,0
"Dish  2 x  2 Inverted","Black",4,4740.dat,0
"Dish  2 x  2 Inverted","Red",1,4740.dat,4
"Dish  2 x  2 Inverted","Reddish Brown",2,4740.dat,70
"Plate  1 x  2 with Handle Type 2","Yellow",2,48336.dat,14
"Panel  1 x  2 x  1 with Rounded Corners","Green",1,4865b.dat,2
"Panel  1 x  2 x  1 with Rounded Corners","Light Bluish Grey",6,4865b.dat,71
"Bar  1.5L with Clip with Truncated Sides and Hole in Shaft","Black",9,48729b.dat,0
"Bar  1.5L with Clip with Truncated Sides and Hole in Shaft","Dark Bluish Grey",1,48729b.dat,72
"Brick  1 x  1 x  0.667 with Curved Top","White",6,49307.dat,15
"Plate  8 x  8 without Corner","Reddish Brown",1,30504.dat,70
"Plate  4 x  4 with Corner Round","Green",6,30565.dat,2
"Plate  4 x  4 with Corner Round","Reddish Brown",2,30565.dat,70
"Brick  1 x  1 Round with Hollow Stud","Blue",8,3062b.dat,1
"Brick  1 x  1 Round with Hollow Stud","Red",8,3062b.dat,4
"Brick  1 x  1 Round with Hollow Stud","Reddish Brown",19,3062b.dat,70
"Brick  1 x  1 Round with Hollow Stud","Dark Green",1,3062b.dat,288
"Brick  1 x  1 Round with Hollow Stud","Dark Brown",4,3062b.dat,308
"Brick  1 x  1 Round with Hollow Stud","Dark Red",1,3062b.dat,320
"Brick  1 x  1 Round with Hollow Stud","Dark Orange",4,3062b.dat,484
